id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10176,Al0.967Ga0.033Nb3,19.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10177,Al0.967Nb3Se0.033,18.10 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10178,Al0.96Ge0.04Nb3,19.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10179,Al0.975Nb3Si0.025,18.50 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10180,Al0.97Ge0.03Nb3,19.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10181,Al0.983Ga0.017Nb3,18.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10182,Al0.985Nb3Si0.015,18.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10183,Al0.98Ge0.02Nb3,19.30 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10184,Al0.98Nb3Se0.02,18.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10185,Al0.991Ge0.009Nb3,19.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10186,Al0.998Mn0.002,0.26 ,1970,10.1016/0038-1098(70)90674-5,10186,cubic,Im-3,202.95,3.1,6.41,6.41,6.41,109.47,109.47,109.47
10187,Al0.9B0.1Nb3,19.80 ,1973,10.1109/TMAG.1972.1067344,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10188,Al0.9Be0.1Nb3,19.80 ,1973,10.1109/TMAG.1972.1067344,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10189,Al0.9Ca1Ga0.1Si1,6.54 ,2004,10.1016/j.physc.2004.02.175,15812,hexagonal,P-6m2,67.2,2.35,4.19,4.19,4.43,90,90,120
10190,Al0.9Ca1Si1.1,5.57 ,2002,10.1016/S0921-4534(02)02056-7,15812,hexagonal,P-6m2,67.2,2.35,4.19,4.19,4.43,90,90,120
10191,Al0.9In0.1Nb3,18.30 ,1968,10.1007/BF01380012,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10192,Al0.9Nb3Sb0.1,18.06 ,1966,10.1103/PhysRev.152.341,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10193,Al0.9Nb3Se0.1,17.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10194,Al0.9Nb3Sn0.1,16.10 ,,,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10195,Al0.9Nb3Zn0.1,18.10 ,1968,10.1007/BF01380012,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10196,Al1,1.80 ,1994,10.1103/PhysRevLett.73.1412,10196,hexagonal,P6_3/mmc,63.58,2.82,2.83,2.83,9.19,90,90,120
10197,Al1.1Ca1Si0.9,6.63 ,2002,10.1016/S0921-4534(02)02056-7,15812,hexagonal,P-6m2,67.2,2.35,4.19,4.19,4.43,90,90,120
10198,Al1.2Ca1Si0.8,5.21 ,2002,10.1016/S0921-4534(02)02056-7,15812,hexagonal,P-6m2,67.2,2.35,4.19,4.19,4.43,90,90,120
10199,Al1.825La1Si0.175,NaN,,10.1016/j.intermet.2007.08.003,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10200,Al1.85La1Si0.15,NaN,,10.1016/j.physb.2006.03.060,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10201,Al1.995La1Si0.005,2.90 ,2008,10.1016/j.intermet.2007.08.003,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10202,Al11La3,NaN,,10.1016/0375-9601(70)90172-6,10202,orthorhombic,Immm,293.13,4.04,4.42,8.57,8.57,72.2,75.05,75.05
10203,Al12Mo1,NaN,,10.1103/RevModPhys.35.1,10203,cubic,Im-3,213.22,3.27,6.52,6.52,6.52,109.47,109.47,109.47
10204,Al12Re1,NaN,,,10204,cubic,Im-3,209.06,4.05,6.48,6.48,6.48,109.47,109.47,109.47
10205,Al13Os4,5.50 ,1968,"HELV.PHYS.ACTA,41(1968)1052",10205,monoclinic,C12/m1,258.93,7.13,4.21,7.8,9.03,115.25,103.48,90
10206,Al13Ru4,NaN,,,10206,monoclinic,C12/m1,782.02,4.81,8.16,8.92,12.69,105.73,90,117.25
10207,Al1Au2Sc1,4.40 ,1976,10.1016/0022-5088(76)90224-1,10207,cubic,Fm-3m,70.26,11.01,4.63,4.63,4.63,60,60,60
10208,Al1Au4,0.70 ,1965,10.1016/0022-3697(65)90144-7,10208,cubic,P2_13,339.82,15.93,6.98,6.98,6.98,90,90,90
10209,Al1B2,NaN,,10.1103/PhysRevB.65.132505,10209,hexagonal,P6/mmm,25.28,3.19,2.99,2.99,3.26,90,90,120
10210,Al1B4Yb1,0.08 ,2008,10.1038/nphys1002,10210,orthorhombic,Pbam,242.41,6.67,3.48,6,11.62,90,90,90
10211,Al1Ba1Ge1,6.30 ,2009,10.1103/PhysRevB.80.064514,10211,hexagonal,P-6m2,85.77,4.59,4.35,4.35,5.23,90,90,120
10212,,,,,,,,,,,,,,,
10213,Al1Ba1Sn1,2.90 ,2009,10.1103/PhysRevB.80.064514,10213,hexagonal,P-6m2,98.9,4.75,4.7,4.7,5.18,90,90,120
10214,Al1C1Cr2,NaN,,10.1016/0022-5088(66)90041-5,10214,hexagonal,P6_3/mmc,87.1,5.45,2.83,2.83,12.6,90,90,120
10215,Al1C1La3,NaN,,10.1103/PhysRevB.8.3194,10215,cubic,Pm-3m,141.02,5.37,5.21,5.21,5.21,90,90,90
10216,Al1C1Ni3,NaN,,10.1016/j.physc.2005.03.007,10216,cubic,Pm-3m,53.21,6.71,3.76,3.76,3.76,90,90,90
10217,Al1C1Ti3,NaN,,,10217,cubic,Pm-3m,72.51,4.18,4.17,4.17,4.17,90,90,90
10218,Al1C1V2,NaN,,10.1016/0022-5088(66)90041-5,10218,hexagonal,P6_3/mmc,94.63,4.94,2.89,2.89,13.1,90,90,120
10219,Al1C1Y3,NaN,,,10219,cubic,Pm-3m,116.67,4.35,4.89,4.89,4.89,90,90,90
10220,Al1Ca1Si1,7.90 ,2003,10.1103/PhysRevB.68.014512,10220,hexagonal,P6_3/mmc,401.27,2.36,4.19,4.19,26.38,90,90,120
10221,Al1Ce1Rh1,NaN,,10.1103/PhysRevB.62.127,10221,orthorhombic,Pnma,475.42,7.54,4.22,7.13,15.79,90,90,90
10222,Al1Cr0.3Nb2.7,14.10 ,1971,10.1016/S0010-8545(00)80012-0,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10223,Al1Cu1,3.45 ,1968,10.1103/PhysRevLett.21.1320,10223,triclinic,P-1,136.38,5.51,4.06,6.32,6.32,65.49,71.36,71.44
10224,Al1Cu1Zr1,NaN,,10.1103/RevModPhys.35.1,10224,orthorhombic,Imma,97.38,6.2,5.15,5.14,5.15,119.82,118.75,91.23
10225,Al1Cu2Zr1,NaN,,10.1016/0167-577X(83)90043-5,10225,cubic,Fm-3m,59.61,6.83,4.38,4.38,4.38,60,60,60
10226,Al1Gd1Rh1,NaN,,10.1016/S0038-1098(00)00034-X?,10226,orthorhombic,Pnma,232.1,8.22,4.19,6.93,7.99,90,90,90
10227,Al1Ge1,5.50 ,1971,10.1016/0375-9601(71)90374-4,10227,trigonal,R-3cH,441.37,3.95,7.67,7.67,7.67,96.61,96.61,96.61
10228,Al1Ge1Na1,NaN,,10.1103/PhysRevB.86.174522,10228,tetragonal,P4/nmm1,126.06,3.23,4.15,4.15,7.33,90,90,90
10229,Al1Ge1Sr1,6.70 ,2009,10.1103/PhysRevB.80.064514,10229,hexagonal,P-6m2,76.4,4.07,4.3,4.3,4.78,90,90,120
10230,Al1Ge3Y2,4.50 ,2011,10.1143/JPSJ.80.014716,10230,orthorhombic,Pnma,511.99,5.48,4.22,6.84,17.75,90,90,90
10231,Al1Hf0.015Nb2.985,18.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10232,Al1Hf0.081Nb2.919,16.50 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10233,Al1Hf0.15Nb2.85,14.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10234,Al1Hf0.75Pd2Y0.25,3.20 ,2009,10.1103/PhysRevB.79.064508,10236,cubic,Fm-3m,64.88,10.71,4.51,4.51,4.51,60,60,60
10235,Al1Hf1Ni2,NaN,,10.1016/S0921-4526(99)00102-7?,10235,cubic,Fm-3m,54.81,9.78,4.26,4.26,4.26,60,60,60
10236,Al1Hf1Pd2,3.66 ,2012,10.1103/PhysRevB.85.174505,10236,cubic,Fm-3m,64.88,10.71,4.51,4.51,4.51,60,60,60
10237,Al1La1,NaN,,10.1016/0022-3697(67)90087-X,10237,orthorhombic,Cmcm,211.97,5.2,5.74,6.13,6.13,101.09,90,90
10238,Al1La1Rh1,2.40 ,2000,10.1103/PhysRevB.62.127,10238,orthorhombic,Pnma,502.78,7.1,4.27,7.28,16.16,90,90,90
10239,Al1La3,6.16 ,1968,10.1016/0375-9601(68)90570-7,10239,hexagonal,P6_3/mmc,248.49,5.93,7.25,7.25,5.46,90,90,120
10240,Al1Lu2,NaN,,10.1103/RevModPhys.35.1,10240,tetragonal,P4_2/mnm,475.36,8.09,7.43,8,8,90,90,90
10241,Al1Lu3,NaN,,,10241,hexagonal,P6_3/mmc,197.98,9.26,6.61,6.61,5.23,90,90,120
10242,Al1Mg1Si1,6.00 ,2012,10.1021/ic301296u,10242,orthorhombic,Pnma,215.16,2.45,3.97,6.67,8.12,90,90,90
10243,Al1Mg4Si3,5.20 ,2013,10.1021/ic3027539,10243,tetragonal,P4/ncc1,594.62,2.33,6.56,6.56,13.82,90,90,90
10244,Al1Mo0.15Nb2.85,15.50 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10245,Al1Mo0.225Nb2.775,13.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10246,Al1Mo0.3Nb2.7,12.30 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10247,Al2Mo3Nb3,4.90 ,,,10247,trigonal,R32H,132.31,7.79,5.1,5.1,5.1,90.23,90.23,90.23
10248,Al1Mo1.8Nb1.2,4.20 ,1959,10.1016/0022-3697(59)90093-9,10247,trigonal,R32H,132.31,7.79,5.1,5.1,5.1,90.23,90.23,90.23
10249,Al1Mo3,0.58 ,1959,10.1016/0022-3697(59)90093-9,10249,cubic,Pm-3n,121.37,8.61,4.95,4.95,4.95,90,90,90
10250,Al1N1,1.55 ,1966,"INSTITUTE METALLOFIZIKI AN U.S.S.R.KIEV,(1966-YEAR                     1966",10250,hexagonal,P6_3mc,42.53,3.2,3.13,3.13,5.02,90,90,120
10251,Al1Na1Si1,7.40 ,2012,10.1103/PhysRevB.86.174522,10251,tetragonal,P4/nmm1,123.12,2.11,4.11,4.11,7.29,90,90,90
10252,Al1Nb0.1Pd2Zr0.9,2.10 ,2009,10.1103/PhysRevB.79.064508,10283,cubic,Fm-3m,66.3,8.29,4.54,4.54,4.54,60,60,60
10253,Al1Nb1Ni2,2.15 ,1985,10.1143/JPSJ.54.1673,10253,cubic,Fm-3m,52.96,7.44,4.22,4.22,4.22,60,60,60
10254,Al1Nb2.706V0.294,15.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10255,Al1Nb2.739Ta0.261,15.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10256,Al1Nb2.73Ti0.27,11.50 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10257,Al1Nb2.778Ti0.222,13.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10258,Al1Nb2.7V0.3,15.40 ,1969,10.1007/BF01392578,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10259,Al1Nb2.859V0.141,17.20 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10260,Al1Nb2.859Zr0.141,13.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10261,Al1Nb2.85Ta0.15,16.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10262,Al1Nb2.85W0.15,15.20 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10263,Al1Nb2.88Ti0.12,15.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10264,Al1Nb2.895W0.105,16.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10265,Al1Nb2.917Ti0.083,16.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10266,Al1Nb2.91Zr0.09,14.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10267,Al1Nb2.927Zr0.073,14.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10268,Al1Nb2.94Ta0.06,17.70 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10269,Al1Nb2.94W0.06,17.20 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10270,Al1Nb2.973Zr0.027,16.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10271,Al1Nb2.976Ti0.024,17.70 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10272,Al1Nb2.97W0.03,18.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10273,Al1Nb2.97Zr0.03,17.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10274,Al1Nb2.993Zr0.007,17.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10275,Al1Nd1Rh1,NaN,,10.1016/S0038-1098(00)00034-X,10275,orthorhombic,Pnma,243.04,7.49,4.26,7.02,8.12,90,90,90
10276,Al1Ni2Ta1,NaN,,10.1016/S0921-4526(99)00102-7,10276,cubic,Fm-3m,52.27,10.34,4.2,4.2,4.2,60,60,60
10277,Al1Ni2Ti1,NaN,,10.1016/S0921-4526(99)00102-7,10277,cubic,Fm-3m,49.93,6.39,4.13,4.13,4.13,60,60,60
10278,Al1Ni2V1,NaN,,10.1016/S0921-4526(99)00102-7,10278,cubic,Fm-3m,48.6,6.67,4.1,4.1,4.1,60,60,60
10279,Al1Ni2Zr1,1.38 ,1983,10.1016/0167-577X(83)90043-5,10279,cubic,Fm-3m,56.19,6.96,4.3,4.3,4.3,60,60,60
10280,Al1Os1,0.39 ,1963,10.1103/RevModPhys.35.1,10280,cubic,Pm-3m,26.94,13.39,3,3,3,90,90,90
10281,Al1Pd2Y0.1Zr0.9,NaN,,10.1103/PhysRevB.79.064508,10283,cubic,Fm-3m,66.3,8.29,4.54,4.54,4.54,60,60,60
10282,Al1Pd2Y1,NaN,,10.1016/0167-577X(83)90043-5,10282,hexagonal,P6_3/mmc,149.91,7.28,4.36,4.36,9.11,90,90,120
10283,Al1Pd2Zr1,3.40 ,2012,10.1103/PhysRevB.85.174505,10283,cubic,Fm-3m,66.3,8.29,4.54,4.54,4.54,60,60,60
10284,Al1Pr1Rh1,NaN,,10.1016/S0038-1098(00)00034-X,10284,orthorhombic,Pnma,246.97,7.28,4.27,7.07,8.18,90,90,90
10285,Al1Pt1,NaN,,10.1016/0022-3697(65)90144-7,10285,cubic,P2_13,116.14,12.7,4.88,4.88,4.88,90,90,90
10286,Al1Re1,NaN,,,10286,tetragonal,P4/nmm1,56.54,12.52,3.09,3.09,5.94,90,90,90
10287,Al1Sb1,2.80 ,1973,"Sov.Phys.Semicond., 7(1973)593",10287,cubic,F-43m,59.15,4.18,4.37,4.37,4.37,60,60,60
10288,Al1Sc3,NaN,,,10288,hexagonal,P6_3/mmc,175.27,3.07,6.31,6.31,5.08,90,90,120
10289,Al1Si1Sr1,5.10 ,2002,10.1016/S0921-4534(02)02056-7,10289,hexagonal,P-6m2,74.76,3.17,4.25,4.25,4.78,90,90,120
10290,Al1Th2,0.09 ,1972,10.1016/0022-5088(72)90060-4,10290,tetragonal,I4/mcm,169.35,9.63,5.71,6.15,6.15,77.52,62.3,62.3
10291,Al1Y1,NaN,,,10291,orthorhombic,Cmcm,99.77,3.86,4,4.34,6.08,90,109.21,90
10292,Al1Y2,NaN,,,10292,orthorhombic,Pnma,320.69,4.24,5.11,6.61,9.49,90,90,90
10293,Al1Y3,NaN,,,10293,cubic,Pm-3m,110.11,4.43,4.79,4.79,4.79,90,90,90
10294,Al2.06Cu1,0.65 ,1972,10.1016/0022-5088(72)90060-4,10294,trigonal,P-3m1,72.4,4.77,4.09,4.09,4.99,90,90,120
10295,Al2.7Ga0.3Pd2U1,0.52 ,1997,10.1103/PhysRevB.56.846,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10296,Al2.85Ga0.15Pd2U1,1.15 ,1997,10.1103/PhysRevB.56.846,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10297,Al2.94Ga0.06Pd2U1,1.51 ,1997,10.1103/PhysRevB.56.846,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10298,Al2.97Ga0.03Pd2U1,1.64 ,1997,10.1103/PhysRevB.56.846,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10299,Al2.97Pd2U1,NaN,,10.1016/0925-8388(94)90975-X,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10300,Al2.98Ni2U1,1.16 ,1994,10.1016/0925-8388(94)90975-X,10355,hexagonal,P6/mmm,92.51,7.83,5.15,5.15,4.03,90,90,120
10301,Al20.3V2,1.49 ,2012,10.1143/JPSJ.81.023703,10301,cubic,Fd-3m1,734.92,2.9,10.13,10.13,10.13,60,60,60
10302,Al20La1V2,0.15 ,2018,10.7566/JPSJ.87.033707,10302,cubic,Fd-3m1,778.18,3.33,10.32,10.32,10.32,60,60,60
10303,Al20Pr1Ti2,1.12 ,2012,10.1103/PhysRevLett.109.187004,10303,cubic,Fd-3m1,780.4,3.3,10.33,10.33,10.33,60,60,60
10304,Al20Pr1V2,0.05 ,2016,10.1016/j.jmmm.2015.07.113,10304,cubic,Fd-3m1,754.31,3.44,10.22,10.22,10.22,60,60,60
10305,Al28Ca24O66,0.20 ,2008,10.1103/PhysRevB.77.092505,10305,triclinic,P1,881.63,2.61,10.45,10.46,10.47,109.33,109.92,109.1
10306,Al2Au1,0.10 ,1969,"BULL.AMER.PHYS.SOC.,14(1969)382",10306,cubic,Fm-3m,54.13,7.7,4.25,4.25,4.25,60,60,60
10307,Al2C1Mo3,10.00 ,,,10307,cubic,P4_132,321.93,7.3,6.85,6.85,6.85,90,90,90
10308,Al2C1Nb3,NaN,,,10308,cubic,P4_132,362.5,6.32,7.13,7.13,7.13,90,90,90
10309,Al2C1Ta3,NaN,,,10309,cubic,P4_132,357.2,11.32,7.1,7.1,7.1,90,90,90
10310,Al2Ca1,NaN,,,10310,cubic,Fd-3m1,127.49,2.45,5.65,5.65,5.65,60,60,60
10311,Al2Ca1Si2,NaN,,10.1063/1.1448857,10311,trigonal,P-3m1,105.23,2.37,4.14,4.14,7.1,90,90,120
10312,Al2Ce1,NaN,,10.1016/0022-3697(67)90160-6,10312,cubic,Fd-3m1,125.5,5.14,5.62,5.62,5.62,60,60,60
10313,Al2Ce1Pd5,0.90 ,2010,10.1143/JPSJ.79.024702,10313,tetragonal,I4/mmm,129.28,9.33,4.16,4.16,8.02,105.04,105.04,90
10314,Al2Cu1,1.02 ,,,10314,tetragonal,I4/mmm,47.01,4.15,4.06,4.05,4.06,120.12,90,120.12
10315,Al2Gd0.001La0.999,2.78 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10316,Al2Gd0.002La0.998,2.45 ,1974,10.1007/BF01677940,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10317,Al2Gd0.003La0.997,1.89 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10318,Al2Gd0.004La0.996,1.38 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10319,Al2Gd0.005La0.995,0.93 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10320,Al2La0.988Tb0.012,0.94 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10321,Al2La0.991Tb0.009,1.43 ,1973,10.1016/0038-1098(73)90751-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10322,Al2La0.992Tb0.008,1.61 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10323,Al2La0.994Tb0.006,2.00 ,1973,10.1016/0038-1098(73)90751-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10324,Al2La0.996Tb0.004,2.40 ,1974,10.1016/0038-1098(74)90207-5,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10325,Al2La1,3.27 ,1975,10.1016/0038-1098(75)90052-6,10325,cubic,Fd-3m1,134.29,4.77,5.75,5.75,5.75,60,60,60
10326,Al2Lu1,NaN,,10.1016/0022-3697(67)90087-X,10326,cubic,Fd-3m1,114.68,6.63,5.45,5.45,5.45,60,60,60
10327,Al2Lu1Pd5,NaN,,10.1143/jpsj.77.043701,10327,tetragonal,I4/mmm,126.4,10,8.02,8.02,8.02,150.26,150.26,42.55
10328,Al2Mg2,0.84 ,,,10328,tetragonal,P4/mmm,37.59,2.27,3,3,4.18,90,90,90
10329,Al2Mg3,NaN,,10.1103/RevModPhys.35.1,10329,cubic,I-43m,568.37,2.15,9.04,9.04,9.04,109.47,109.47,109.47
10330,Al2N1Nb3,1.30 ,,,10330,cubic,P4_132,352.41,6.53,7.06,7.06,7.06,90,90,90
10331,Al2Np1Pd5,5.00 ,2008,10.1103/PhysRevB.77.212502,10331,tetragonal,I4/mmm,128.2,10.66,8.01,8.01,8.01,150,150,42.95
10332,Al2Os1,NaN,,,10332,tetragonal,I4/mmm,41.33,9.81,3.16,3.16,4.71,109.56,109.56,90
10333,Al2Pd5Pu1,NaN,,10.1103/PhysRevB.77.092405,10333,tetragonal,I4/mmm,131.28,10.5,8.09,8.09,8.09,150.08,150.08,42.83
10334,Al2Pt1,0.55 ,1965,10.1016/0022-3697(65)90144-7,10334,cubic,Fm-3m,51.3,8.06,4.17,4.17,4.17,60,60,60
10335,Al2Sc1,NaN,,10.1103/RevModPhys.35.1,10335,cubic,Fd-3m1,107.82,3.05,5.34,5.34,5.34,60,60,60
10336,Al2Si2U1,1.34 ,1985,10.1103/PhysRevB.31.1329,10336,orthorhombic,Pmmm,144.08,7.39,4.15,4.28,8.11,90,90,90
10337,Al2Th1,NaN,,10.1103/RevModPhys.35.1,10337,hexagonal,P6/mmm,70.29,6.76,4.4,4.4,4.2,90,90,120
10338,Al2Th3,2.60 ,1969,10.1016/0375-9601(69)90056-5,10338,tetragonal,P4/mbm,278.69,8.94,8.08,8.08,4.27,90,90,90
10339,Al2U1,NaN,,,10339,hexagonal,P6_3/mmc,457.44,8.48,5.58,5.58,16.95,90,90,120
10340,Al2Y1,NaN,,,10340,cubic,Fd-3m1,120.88,3.93,5.55,5.55,5.55,60,60,60
10341,Al2Y3,NaN,,,10341,tetragonal,P4_2/mnm,520.86,4.09,7.68,8.24,8.24,90,90,90
10342,Al2Yb1,NaN,,10.1016/0022-5088(72)90028-8,10342,cubic,Fd-3m1,126.71,5.95,5.64,5.64,5.64,60,60,60
10343,Al3.05Ni1.95U1,0.16 ,1994,10.1016/0925-8388(94)90975-X,10355,hexagonal,P6/mmm,92.51,7.83,5.15,5.15,4.03,90,90,120
10344,Al3Ca2Si4,6.20 ,2013,10.1016/j.jssc.2012.11.011,10344,orthorhombic,Cmc2_1,686.96,2.64,5.88,14.97,7.8,90,90,90
10345,Al3Gd0.01Pd2U0.99,1.16 ,1994,10.1016/0921-4526(94)91757-4,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10346,Al3Gd0.05Pd2U0.95,NaN,,10.1016/0921-4526(94)91757-4,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10347,Al3La0.15Pd2U0.85,1.20 ,2001,10.1103/PhysRevB.65.024437,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10348,Al3La0.1Pd2U0.9,NaN,,10.1016/S0921-4526(01)01141-3,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10349,Al3La0.3Pd2U0.7,1.20 ,2001,10.1103/PhysRevB.65.024437,10364,hexagonal,P6/mmm,106.44,8.3,5.38,5.38,4.24,90,90,120
10350,Al3La1Pd2,0.85 ,2001,10.1103/PhysRevB.65.024437,10350,hexagonal,P6/mmm,111.51,6.44,5.51,5.51,4.24,90,90,120
10351,Al3Nb1,NaN,,,10351,tetragonal,I4/mmm,63.1,4.58,3.83,3.83,5.08,112.18,112.18,90
10352,Al3Nd1Pd2,NaN,,10.1006/jssc.1996.0373,10352,hexagonal,P6/mmm,108.51,6.7,5.46,5.46,4.2,90,90,120
10353,Al3Ni1.98U1,1.13 ,1994,10.1016/0925-8388(94)90975-X,10355,hexagonal,P6/mmm,92.51,7.83,5.15,5.15,4.03,90,90,120
10354,Al3Ni2U0.98,1.15 ,1994,10.1016/0925-8388(94)90975-X,10355,hexagonal,P6/mmm,92.51,7.83,5.15,5.15,4.03,90,90,120
10355,Al3Ni2U1,1.13 ,1994,10.1016/0925-8388(94)90975-X,10355,hexagonal,P6/mmm,92.51,7.83,5.15,5.15,4.03,90,90,120
