id,formula,Tc,Time,doi,cif,system,SG_num,SG_syb,density,,,,,,
10158,Al0.8Nb3Zn0.2,17.70 ,1968,10.1007/BF01380012,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10159,Al0.907Ga0.093Nb3,19.10 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10160,Al0.91Ge0.09Nb3,19.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10161,Al0.924Nb3Se0.076,17.60 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10162,Al0.927Ga0.073Nb3,19.20 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10163,Al0.935Nb3Si0.065,18.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10164,Al0.93Ge0.07Nb3,20.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10165,Al0.945Nb3Si0.055,18.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10166,Al0.94Ge0.06Nb3,20.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10167,Al0.94Nb3Se0.06,17.80 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10168,Al0.952Nb3Se0.048,18.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10169,Al0.956Nb3Si0.044,18.50 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10170,Al0.95B0.05Nb3,19.10 ,1973,10.1143/JPSJ.35.108,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10171,Al0.95Ba1Si1.05,2.80 ,2007,10.1016/j.physc.2006.10.002,10171,hexagonal,P-6m2,83.98,3.8,4.31,4.31,5.23,90,90,120
10172,Al0.95Be0.05Nb3,19.60 ,1973,10.1143/JPSJ.35.108,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10173,Al0.95Ga0.05Nb3,19.20 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10174,Al0.95Ge0.05Nb3,20.00 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
10175,Al0.964Nb3Si0.036,18.40 ,1984,10.1007/BF00681455,15775,cubic,Pm-3n,141.2,7.19,5.21,5.21,5.21,90,90,90
